UNION TRANSFER,06:50,07:20,07:50,08:20,08:50,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:15,15:45,16:15,16:45,17:15,17:45
14 FIFTY ONE,06:58,07:28,07:58,08:28,08:58,09:28,09:58,10:28,10:58,11:28,11:58,12:28,12:58,13:28,13:58,14:28,14:58,15:23,15:53,16:23,16:53,17:23,17:53
THE FORUM/REDPOINT,07:02,07:32,08:02,08:32,09:02,09:32,10:02,10:32,11:02,11:32,12:02,12:32,13:02,13:32,14:02,14:32,15:02,15:27,15:57,16:27,16:57,17:27,17:57
THE LEONARD,07:04,07:34,08:04,08:34,09:04,09:34,10:04,10:34,11:04,11:34,12:04,12:34,13:04,13:34,14:04,14:34,15:04,15:29,15:59,16:29,16:59,17:29,17:59
THE ARBORS,07:08,07:38,08:08,08:38,09:08,09:38,10:08,10:38,11:08,11:38,12:08,12:38,13:08,13:38,14:08,14:38,15:08,15:33,16:03,16:33,17:03,17:33,18:03
