UNION TRANSFER,07:23,07:53,08:23,09:00,09:30,10:00,10:40,11:13,11:46,12:26,12:59,13:32,14:12,14:45,15:18,15:51,16:24,16:57
KERR HALL/BLB,07:26,07:56,08:26,09:03,09:33,10:03,10:43,11:16,11:49,12:29,13:02,13:35,14:15,14:48,15:21,15:54,16:27,17:00
VICTORY HALL,07:36,08:06,08:36,09:13,09:43,10:13,10:53,11:26,11:59,12:39,13:12,13:45,14:25,14:58,15:31,16:04,16:37,17:10
FOUTS TRANSFER,07:41,08:11,08:41,09:18,09:48,10:19,10:59,11:32,12:05,12:45,13:18,13:51,14:31,15:04,15:37,16:10,16:43,17:16
POHL RECREATION CENTER,07:43,08:13,08:43,09:20,09:50,10:21,11:01,11:34,12:07,12:47,13:20,13:53,14:33,15:06,15:39,16:12,16:45,17:18
ESLC,07:44,08:14,08:44,09:21,09:51,10:23,11:03,11:36,12:09,12:49,13:22,13:55,14:35,15:08,15:41,16:14,16:47,17:20
GAB,07:45,08:15,08:45,09:22,09:52,10:24,11:04,11:37,12:10,12:50,13:23,13:56,14:36,15:09,15:42,16:15,16:48,17:21
