UNION TRANSFER,,16:16,16:46,17:46,18:16,19:16,19:46,20:46,21:16
EB EAGLE AT BERNARD ST.,,16:19,16:49,17:49,18:19,19:19,19:49,20:49,21:19
14 FIFTY ONE,,16:25,16:55,17:55,18:25,19:25,19:55,20:55,21:25
THE FORUM/REPUBLIC,16:00,16:30,17:00,18:00,18:30,19:30,20:00,21:00,21:30
THE VENUE AT BERNARD ST.,16:05,16:35,17:05,18:05,18:35,19:35,20:05,21:05,21:35
UNIVERSITY PLACE,16:07,16:37,17:07,18:07,18:37,19:37,20:07,21:07,21:37
THE OAKS,16:08,16:38,17:08,18:08,18:38,19:38,20:08,21:08,21:38
