THE RETREAT,07:00,07:28,07:56,08:24,08:52,09:20,09:48,10:16,10:44,11:12,11:40,12:08,12:36,13:04,13:32,14:00,14:28,14:56,15:24,15:52,16:20,16:48,17:16
UNIVERSITY UPTOWN,07:02,07:30,07:58,08:26,08:54,09:22,09:50,10:18,10:46,11:14,11:42,12:10,12:38,13:06,13:34,14:02,14:30,14:57,15:26,15:54,16:22,16:51,17:18
UNION TRANSFER,07:14,07:42,08:10,08:38,09:06,09:34,10:02,10:30,10:58,11:26,11:54,12:22,12:50,13:18,13:46,14:14,14:42,15:10,15:38,16:06,16:34,17:02,
