UNION TRANSFER,07:13,07:53,08:33,09:13,09:53,10:33,11:13,11:53,12:33,13:13,13:53,14:33,15:13,15:53,16:33,17:13,17:53
EAGLE AT BERNARD ST.,07:15,07:55,08:35,09:15,09:55,10:35,11:15,11:55,12:35,13:15,13:55,14:35,15:15,15:55,16:35,17:15,17:55
THE RIDGE,07:24,08:04,08:44,09:24,10:04,10:44,11:24,12:04,12:44,13:24,14:04,14:44,15:24,16:04,16:44,17:24,18:04
MEDPARK STATION,07:28,08:08,08:48,09:28,10:08,10:48,11:28,12:08,12:48,13:28,14:08,14:48,15:28,16:08,16:48,17:28,18:08
THE VENUE AT BERNARD ST.,07:38,08:18,08:58,09:38,10:18,10:58,11:38,12:18,12:58,13:38,14:18,14:58,15:38,16:18,16:58,17:38,18:18
THE ARBORS,07:39,08:19,08:59,09:39,10:19,10:59,11:39,12:19,12:59,13:39,14:19,14:59,15:39,16:19,16:59,17:39,18:19
UNIVERSITY PLACE,07:40,08:20,09:00,09:40,10:20,11:00,11:40,12:20,13:00,13:40,14:20,15:00,15:40,16:20,17:00,17:40,18:20
