NTX DENTON,07:16,07:38,08:03,08:28,08:53,09:18,09:43,10:08,10:33,10:58,11:23,11:48,12:13,12:38,13:03,13:28,13:53,14:18,14:43,15:08,15:33,15:58,16:23,16:48,17:13,17:38,18:03,18:28
THE ARCH,07:18,07:40,08:05,08:30,08:55,09:20,09:45,10:10,10:35,11:00,11:25,11:50,12:15,12:40,13:05,13:30,13:55,14:20,14:45,15:10,15:35,16:00,16:25,16:50,17:15,17:40,18:05,18:30
THE VENUE AT BERNARD ST.,07:21,07:43,08:08,08:33,08:58,09:23,09:48,10:13,10:38,11:03,11:28,11:53,12:18,12:43,13:08,13:33,13:58,14:23,14:48,15:13,15:38,16:03,16:28,16:53,17:18,17:43,18:08,18:33
UNIVERSITY PLACE,07:22,07:44,08:09,08:34,08:59,09:24,09:49,10:14,10:39,11:04,11:29,11:54,12:19,12:44,13:09,13:34,13:58,14:24,14:49,15:14,15:39,16:04,16:29,16:54,17:19,17:44,18:09,18:34
UNION TRANSFER,07:30,07:55,08:20,08:45,09:10,09:35,10:00,10:25,10:50,11:15,11:40,12:05,12:30,12:55,13:20,13:45,14:10,14:35,15:00,15:25,15:50,16:15,16:40,17:05,17:30,17:55,18:20,18:45
EB EAGLE AT BERNARD ST.,07:33,07:58,08:23,08:48,09:13,09:38,10:03,10:28,10:53,11:18,11:43,12:08,12:33,12:58,13:23,13:48,14:13,14:38,15:03,15:28,15:53,16:18,16:43,17:08,17:33,17:58,18:23,18:48
