UNION TRANSFER,17:16,18:46,20:16,21:46
WB OAK AT FRY,17:18,18:48,20:18,21:48
WB OAK AT THOMAS,17:23,18:53,20:23,21:53
WB OAK AT I-35,17:25,18:55,20:25,21:55
THE RETREAT,17:30,19:00,20:30,22:00
UNIVERSITY UPTOWN,17:32,19:02,20:32,22:02
