UNION TRANSFER,,,07:36,07:56,08:16,08:36,08:56,09:16,09:36,09:56,10:16,10:36,10:56,11:16,11:36,11:56,12:16,12:36,12:56,13:16,13:36,13:56,14:16,14:36,14:56,15:16,15:36,16:16,16:56,17:36,18:16,18:56,19:36,20:16,20:56,21:36,22:16
OAK AT AVE. G,,,07:40,08:00,08:20,08:40,09:00,09:20,09:40,10:00,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:39,16:19,16:59,17:39,18:19,18:59,19:39,20:19,20:59,21:39,22:19
BONNIE BRAE AT UNIVERSITY,,,07:44,08:04,08:24,08:44,09:04,09:24,09:44,10:04,10:24,10:44,11:04,11:24,11:44,12:04,12:24,12:44,13:04,13:24,13:44,14:04,14:24,14:44,15:04,15:24,15:43,16:23,16:03,17:43,18:23,18:03,19:43,20:23,21:03,21:43,22:23
DISCOVERY PARK(MAIN),07:15,07:35,07:55,08:15,08:35,08:55,09:15,09:35,09:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:36,15:55,16:35,17:15,17:55,18:35,19:15,19:55,20:35,21:15,21:55,22:35
BONNIE BRAE AT UNIVERSITY,07:23,07:43,08:03,08:23,08:43,09:03,09:23,09:43,10:03,10:23,10:43,11:03,11:23,11:43,12:03,12:23,12:43,13:03,13:23,13:43,14:03,14:23,14:43,15:03,15:22,15:44,16:02,16:42,17:22,18:02,18:42,19:22,20:02,20:42,21:22,22:02,22:42
HICKORT AT AVE. H,07:27,07:47,08:07,08:27,08:47,09:07,09:27,09:47,10:07,10:27,10:47,11:07,11:27,11:47,12:07,12:27,12:47,13:07,13:27,13:47,14:07,14:27,14:47,15:07,15:26,15:48,16:06,16:46,17:26,18:06,18:46,19:26,20:06,20:46,21:26,22:06,22:46
ESLC,07:28,07:48,08:08,08:28,08:48,09:08,09:28,09:48,10:08,10:28,10:48,11:08,11:28,11:48,12:08,12:28,12:48,13:08,13:28,13:48,14:08,14:28,14:48,15:08,15:27,15:49,16:07,16:47,17:27,18:07,18:47,19:27,20:07,20:47,21:27,22:07,22:47
GAB,07:29,07:49,08:09,08:29,08:49,09:09,09:29,09:49,10:09,10:29,10:49,11:09,11:29,11:49,12:09,12:29,12:49,13:09,13:29,13:49,14:09,14:29,14:49,15:09,15:28,15:50,16:08,16:48,17:28,18:08,18:48,19:28,20:08,20:48,21:28,22:08,22:48
